code,description,category,category_source,failure_class,stage,section,numeric_id
AUTO_TIME_BOUND_REJECTION,Packet rejection due to time limit exceed,BUSINESS_VALIDATION_ERROR,declared,A,OIS,,
PKT_URI_AND_ENRCODE_MISMATCH,Packet rejected due to mismatch in Enrollment code,BUSINESS_VALIDATION_ERROR,declared,A,Structural,,
INPUT_STREAM_TO_BYTE_ERROR,Unable to convert Physical packet to byte array,BUSINESS_VALIDATION_ERROR,declared,A,Structural,,
DECRYPTION_DATA_NULL,Decrypted data of the packet is null,BUSINESS_VALIDATION_ERROR,declared,A,Structural,,
ENCRYPTED_BYTE_ARRAY_IS_EMPTY,Length of encrypted byte array is zero,BUSINESS_VALIDATION_ERROR,declared,A,Structural,,
STRUCTURAL_PKTVAL_XML_CHECK_FAIL,All the required XMLs are not found  in the packet,BUSINESS_VALIDATION_ERROR,declared,A,Structural,,
RESIDENT_STRUCTURAL_VALIDATION_FAILED,Structural Stage Processing Exception,BUSINESS_VALIDATION_ERROR,declared,A,Structural,,
RESIDENT_LINKED_MASTER_REQUEST_VALIDATION_FAILED,Resident linked enrolment rejected as Master request is rejected,BUSINESS_VALIDATION_ERROR,declared,A,Structural,,
REFID_DUPLICATION_CHECK_FAILURE,Request rejected as refId duplicate found in index master,BUSINESS_VALIDATION_ERROR,declared,A,Structural,,
INVALID_TIMESTAMP_IN_FINGER_CAPTURE_LIST,Invalid time format of finger capture list in audit.xml,BUSINESS_VALIDATION_ERROR,declared,A,Structural,,
RESIDENT_EMPTY_BIOMETRICS_IN_PACKET,Empty biometrics in biometrics.xml in packet,BUSINESS_VALIDATION_ERROR,declared,A,Structural,,
LINKED_UID_NOT_FOUND_IN_ORIGIN_TRACKER,Uid not found for update packet in origin tracker,BUSINESS_VALIDATION_ERROR,declared,A,Structural,,
UID_MASTER_DATA_NOT_FOUND,UidMasterData data not found for update request,BUSINESS_VALIDATION_ERROR,declared,A,Structural,,
S3_PACKET_NOT_FOUND,Packet is not present in temporary S3-bucket,BUSINESS_VALIDATION_ERROR,declared,A,Structural,newly added,
